cake,ingredient,measure_amount,measure
Angel,Almond essence,0.25,teaspoon
Angel,Buttermilk,NA,cup
Angel,Baking powder,NA,teaspoon
Angel,Butter,NA,cup
Angel,Bananas,NA,one
Angel,Cocoa,NA,tablespoon
Angel,Cottage Cheese,NA,pound
Angel,Chocolate,NA,ounce
Angel,Crushed Ice,NA,cup
Angel,Crumbs,NA,cup
Angel,Cream of tartar,1.25,teaspoon
Angel,Dried currants,NA,tablespoon
Angel,Eggs,NA,one
Angel,Egg yolk,NA,one
Angel,Egg white,10,one
Angel,Sifted flour,1,cup
Angel,Gelatin,NA,tablespoon
Angel,Heavy cream,NA,cup
Angel,Lemon juice,NA,tablespoon
Angel,Lemon rind,NA,teaspoon
Angel,Milk,NA,cup
Angel,Nutmeg,NA,teaspoon
Angel,Nuts,NA,cup
Angel,Rum,NA,ounce
Angel,Soda,NA,teaspoon
Angel,Sour cream cup,NA,NA
Angel,Shortening,NA,tablespoon
Angel,Granulated sugar,1.5,cup
Angel,Strawberries,NA,quart
Angel,Salt,0.25,teaspoon
Angel,Vanilla extract,1,teaspoon
Angel,Water,NA,cup
Angel,Yeast,NA,ounce
Angel,Zwiebach,NA,ounce
Babas au Rhum,Almond essence,NA,teaspoon
Babas au Rhum,Buttermilk,NA,cup
Babas au Rhum,Baking powder,NA,teaspoon
Babas au Rhum,Butter,0.25,cup
Babas au Rhum,Bananas,NA,one
Babas au Rhum,Cocoa,NA,tablespoon
Babas au Rhum,Cottage Cheese,NA,pound
Babas au Rhum,Chocolate,NA,ounce
Babas au Rhum,Crushed Ice,NA,cup
Babas au Rhum,Crumbs,NA,cup
Babas au Rhum,Cream of tartar,NA,teaspoon
Babas au Rhum,Dried currants,3,tablespoon
Babas au Rhum,Eggs,1,one
Babas au Rhum,Egg yolk,2,one
Babas au Rhum,Egg white,NA,one
Babas au Rhum,Sifted flour,1.75,cup
Babas au Rhum,Gelatin,NA,tablespoon
Babas au Rhum,Heavy cream,NA,cup
Babas au Rhum,Lemon juice,NA,tablespoon
Babas au Rhum,Lemon rind,0.5,teaspoon
Babas au Rhum,Milk,0.25,cup
Babas au Rhum,Nutmeg,NA,teaspoon
Babas au Rhum,Nuts,NA,cup
Babas au Rhum,Rum,2,ounce
Babas au Rhum,Soda,NA,teaspoon
Babas au Rhum,Sour cream cup,NA,NA
Babas au Rhum,Shortening,NA,tablespoon
Babas au Rhum,Granulated sugar,0.25,cup
Babas au Rhum,Strawberries,NA,quart
Babas au Rhum,Salt,NA,teaspoon
Babas au Rhum,Vanilla extract,NA,teaspoon
Babas au Rhum,Water,0.25,cup
Babas au Rhum,Yeast,0.6,ounce
Babas au Rhum,Zwiebach,NA,ounce
Sweet Chocolate,Almond essence,NA,teaspoon
Sweet Chocolate,Buttermilk,NA,cup
Sweet Chocolate,Baking powder,NA,teaspoon
Sweet Chocolate,Butter,1,cup
Sweet Chocolate,Bananas,NA,one
Sweet Chocolate,Cocoa,NA,tablespoon
Sweet Chocolate,Cottage Cheese,NA,pound
Sweet Chocolate,Chocolate,4,ounce
Sweet Chocolate,Crushed Ice,NA,cup
Sweet Chocolate,Crumbs,NA,cup
Sweet Chocolate,Cream of tartar,NA,teaspoon
Sweet Chocolate,Dried currants,NA,tablespoon
Sweet Chocolate,Eggs,4,one
Sweet Chocolate,Egg yolk,NA,one
Sweet Chocolate,Egg white,NA,one
Sweet Chocolate,Sifted flour,2.5,cup
Sweet Chocolate,Gelatin,NA,tablespoon
Sweet Chocolate,Heavy cream,NA,cup
Sweet Chocolate,Lemon juice,NA,tablespoon
Sweet Chocolate,Lemon rind,NA,teaspoon
Sweet Chocolate,Milk,1,cup
Sweet Chocolate,Nutmeg,NA,teaspoon
Sweet Chocolate,Nuts,NA,cup
Sweet Chocolate,Rum,NA,ounce
Sweet Chocolate,Soda,1,teaspoon
Sweet Chocolate,Sour cream cup,NA,NA
Sweet Chocolate,Shortening,NA,tablespoon
Sweet Chocolate,Granulated sugar,2,cup
Sweet Chocolate,Strawberries,NA,quart
Sweet Chocolate,Salt,0.5,teaspoon
Sweet Chocolate,Vanilla extract,1,teaspoon
Sweet Chocolate,Water,0.5,cup
Sweet Chocolate,Yeast,NA,ounce
Sweet Chocolate,Zwiebach,NA,ounce
Buche de Noel,Almond essence,NA,teaspoon
Buche de Noel,Buttermilk,NA,cup
Buche de Noel,Baking powder,NA,teaspoon
Buche de Noel,Butter,NA,cup
Buche de Noel,Bananas,NA,one
Buche de Noel,Cocoa,NA,tablespoon
Buche de Noel,Cottage Cheese,NA,pound
Buche de Noel,Chocolate,NA,ounce
Buche de Noel,Crushed Ice,NA,cup
Buche de Noel,Crumbs,NA,cup
Buche de Noel,Cream of tartar,NA,teaspoon
Buche de Noel,Dried currants,NA,tablespoon
Buche de Noel,Eggs,4,one
Buche de Noel,Egg yolk,NA,one
Buche de Noel,Egg white,NA,one
Buche de Noel,Sifted flour,1,cup
Buche de Noel,Gelatin,NA,tablespoon
Buche de Noel,Heavy cream,NA,cup
Buche de Noel,Lemon juice,NA,tablespoon
Buche de Noel,Lemon rind,NA,teaspoon
Buche de Noel,Milk,NA,cup
Buche de Noel,Nutmeg,NA,teaspoon
Buche de Noel,Nuts,NA,cup
Buche de Noel,Rum,NA,ounce
Buche de Noel,Soda,NA,teaspoon
Buche de Noel,Sour cream cup,NA,NA
Buche de Noel,Shortening,NA,tablespoon
Buche de Noel,Granulated sugar,1.3,cup
Buche de Noel,Strawberries,NA,quart
Buche de Noel,Salt,0.5,teaspoon
Buche de Noel,Vanilla extract,1,teaspoon
Buche de Noel,Water,NA,cup
Buche de Noel,Yeast,NA,ounce
Buche de Noel,Zwiebach,NA,ounce
Cheesecake,Almond essence,NA,teaspoon
Cheesecake,Buttermilk,NA,cup
Cheesecake,Baking powder,NA,teaspoon
Cheesecake,Butter,0.25,cup
Cheesecake,Bananas,NA,one
Cheesecake,Cocoa,NA,tablespoon
Cheesecake,Cottage Cheese,1.5,pound
Cheesecake,Chocolate,NA,ounce
Cheesecake,Crushed Ice,NA,cup
Cheesecake,Crumbs,NA,cup
Cheesecake,Cream of tartar,NA,teaspoon
Cheesecake,Dried currants,NA,tablespoon
Cheesecake,Eggs,6,one
Cheesecake,Egg yolk,NA,one
Cheesecake,Egg white,NA,one
Cheesecake,Sifted flour,0.25,cup
Cheesecake,Gelatin,NA,tablespoon
Cheesecake,Heavy cream,NA,cup
Cheesecake,Lemon juice,1,tablespoon
Cheesecake,Lemon rind,1,teaspoon
Cheesecake,Milk,NA,cup
Cheesecake,Nutmeg,NA,teaspoon
Cheesecake,Nuts,NA,cup
Cheesecake,Rum,NA,ounce
Cheesecake,Soda,NA,teaspoon
Cheesecake,Sour cream cup,1,NA
Cheesecake,Shortening,NA,tablespoon
Cheesecake,Granulated sugar,1,cup
Cheesecake,Strawberries,NA,quart
Cheesecake,Salt,0.25,teaspoon
Cheesecake,Vanilla extract,NA,teaspoon
Cheesecake,Water,NA,cup
Cheesecake,Yeast,NA,ounce
Cheesecake,Zwiebach,6,ounce
Rum Cheesecake,Almond essence,NA,teaspoon
Rum Cheesecake,Buttermilk,NA,cup
Rum Cheesecake,Baking powder,NA,teaspoon
Rum Cheesecake,Butter,NA,cup
Rum Cheesecake,Bananas,NA,one
Rum Cheesecake,Cocoa,NA,tablespoon
Rum Cheesecake,Cottage Cheese,1.5,pound
Rum Cheesecake,Chocolate,NA,ounce
Rum Cheesecake,Crushed Ice,NA,cup
Rum Cheesecake,Crumbs,NA,cup
Rum Cheesecake,Cream of tartar,NA,teaspoon
Rum Cheesecake,Dried currants,NA,tablespoon
Rum Cheesecake,Eggs,2,one
Rum Cheesecake,Egg yolk,NA,one
Rum Cheesecake,Egg white,NA,one
Rum Cheesecake,Sifted flour,NA,cup
Rum Cheesecake,Gelatin,2,tablespoon
Rum Cheesecake,Heavy cream,1,cup
Rum Cheesecake,Lemon juice,1,tablespoon
Rum Cheesecake,Lemon rind,1,teaspoon
Rum Cheesecake,Milk,1,cup
Rum Cheesecake,Nutmeg,NA,teaspoon
Rum Cheesecake,Nuts,NA,cup
Rum Cheesecake,Rum,1,ounce
Rum Cheesecake,Soda,NA,teaspoon
Rum Cheesecake,Sour cream cup,NA,NA
Rum Cheesecake,Shortening,NA,tablespoon
Rum Cheesecake,Granulated sugar,1,cup
Rum Cheesecake,Strawberries,NA,quart
Rum Cheesecake,Salt,0.25,teaspoon
Rum Cheesecake,Vanilla extract,NA,teaspoon
Rum Cheesecake,Water,NA,cup
Rum Cheesecake,Yeast,NA,ounce
Rum Cheesecake,Zwiebach,NA,ounce
Blender Cheesecake,Almond essence,NA,teaspoon
Blender Cheesecake,Buttermilk,NA,cup
Blender Cheesecake,Baking powder,NA,teaspoon
Blender Cheesecake,Butter,NA,cup
Blender Cheesecake,Bananas,NA,one
Blender Cheesecake,Cocoa,NA,tablespoon
Blender Cheesecake,Cottage Cheese,0.5,pound
Blender Cheesecake,Chocolate,NA,ounce
Blender Cheesecake,Crushed Ice,1,cup
Blender Cheesecake,Crumbs,0.3,cup
Blender Cheesecake,Cream of tartar,NA,teaspoon
Blender Cheesecake,Dried currants,NA,tablespoon
Blender Cheesecake,Eggs,NA,one
Blender Cheesecake,Egg yolk,2,one
Blender Cheesecake,Egg white,NA,one
Blender Cheesecake,Sifted flour,NA,cup
Blender Cheesecake,Gelatin,1,tablespoon
Blender Cheesecake,Heavy cream,NA,cup
Blender Cheesecake,Lemon juice,1,tablespoon
Blender Cheesecake,Lemon rind,1,teaspoon
Blender Cheesecake,Milk,NA,cup
Blender Cheesecake,Nutmeg,NA,teaspoon
Blender Cheesecake,Nuts,NA,cup
Blender Cheesecake,Rum,NA,ounce
Blender Cheesecake,Soda,NA,teaspoon
Blender Cheesecake,Sour cream cup,1,NA
Blender Cheesecake,Shortening,NA,tablespoon
Blender Cheesecake,Granulated sugar,NA,cup
Blender Cheesecake,Strawberries,NA,quart
Blender Cheesecake,Salt,NA,teaspoon
Blender Cheesecake,Vanilla extract,NA,teaspoon
Blender Cheesecake,Water,0.5,cup
Blender Cheesecake,Yeast,NA,ounce
Blender Cheesecake,Zwiebach,NA,ounce
One Bowl Chocolate,Almond essence,NA,teaspoon
One Bowl Chocolate,Buttermilk,NA,cup
One Bowl Chocolate,Baking powder,2,teaspoon
One Bowl Chocolate,Butter,NA,cup
One Bowl Chocolate,Bananas,NA,one
One Bowl Chocolate,Cocoa,10,tablespoon
One Bowl Chocolate,Cottage Cheese,NA,pound
One Bowl Chocolate,Chocolate,NA,ounce
One Bowl Chocolate,Crushed Ice,NA,cup
One Bowl Chocolate,Crumbs,NA,cup
One Bowl Chocolate,Cream of tartar,NA,teaspoon
One Bowl Chocolate,Dried currants,NA,tablespoon
One Bowl Chocolate,Eggs,2,one
One Bowl Chocolate,Egg yolk,NA,one
One Bowl Chocolate,Egg white,NA,one
One Bowl Chocolate,Sifted flour,2,cup
One Bowl Chocolate,Gelatin,NA,tablespoon
One Bowl Chocolate,Heavy cream,NA,cup
One Bowl Chocolate,Lemon juice,NA,tablespoon
One Bowl Chocolate,Lemon rind,NA,teaspoon
One Bowl Chocolate,Milk,0.7,cup
One Bowl Chocolate,Nutmeg,NA,teaspoon
One Bowl Chocolate,Nuts,NA,cup
One Bowl Chocolate,Rum,NA,ounce
One Bowl Chocolate,Soda,0.5,teaspoon
One Bowl Chocolate,Sour cream cup,NA,NA
One Bowl Chocolate,Shortening,10,tablespoon
One Bowl Chocolate,Granulated sugar,1.5,cup
One Bowl Chocolate,Strawberries,NA,quart
One Bowl Chocolate,Salt,0.25,teaspoon
One Bowl Chocolate,Vanilla extract,1,teaspoon
One Bowl Chocolate,Water,0.5,cup
One Bowl Chocolate,Yeast,NA,ounce
One Bowl Chocolate,Zwiebach,NA,ounce
Red Devil's Food,Almond essence,NA,teaspoon
Red Devil's Food,Buttermilk,NA,cup
Red Devil's Food,Baking powder,NA,teaspoon
Red Devil's Food,Butter,NA,cup
Red Devil's Food,Bananas,NA,one
Red Devil's Food,Cocoa,0.3,tablespoon
Red Devil's Food,Cottage Cheese,NA,pound
Red Devil's Food,Chocolate,NA,ounce
Red Devil's Food,Crushed Ice,NA,cup
Red Devil's Food,Crumbs,NA,cup
Red Devil's Food,Cream of tartar,NA,teaspoon
Red Devil's Food,Dried currants,NA,tablespoon
Red Devil's Food,Eggs,2,one
Red Devil's Food,Egg yolk,NA,one
Red Devil's Food,Egg white,NA,one
Red Devil's Food,Sifted flour,1.75,cup
Red Devil's Food,Gelatin,NA,tablespoon
Red Devil's Food,Heavy cream,NA,cup
Red Devil's Food,Lemon juice,NA,tablespoon
Red Devil's Food,Lemon rind,NA,teaspoon
Red Devil's Food,Milk,1,cup
Red Devil's Food,Nutmeg,NA,teaspoon
Red Devil's Food,Nuts,NA,cup
Red Devil's Food,Rum,NA,ounce
Red Devil's Food,Soda,1.25,teaspoon
Red Devil's Food,Sour cream cup,NA,NA
Red Devil's Food,Shortening,0.5,tablespoon
Red Devil's Food,Granulated sugar,1.5,cup
Red Devil's Food,Strawberries,NA,quart
Red Devil's Food,Salt,1,teaspoon
Red Devil's Food,Vanilla extract,1,teaspoon
Red Devil's Food,Water,NA,cup
Red Devil's Food,Yeast,NA,ounce
Red Devil's Food,Zwiebach,NA,ounce
Sour Cream Fudge,Almond essence,NA,teaspoon
Sour Cream Fudge,Buttermilk,NA,cup
Sour Cream Fudge,Baking powder,NA,teaspoon
Sour Cream Fudge,Butter,NA,cup
Sour Cream Fudge,Bananas,NA,one
Sour Cream Fudge,Cocoa,NA,tablespoon
Sour Cream Fudge,Cottage Cheese,NA,pound
Sour Cream Fudge,Chocolate,3,ounce
Sour Cream Fudge,Crushed Ice,NA,cup
Sour Cream Fudge,Crumbs,NA,cup
Sour Cream Fudge,Cream of tartar,NA,teaspoon
Sour Cream Fudge,Dried currants,NA,tablespoon
Sour Cream Fudge,Eggs,2,one
Sour Cream Fudge,Egg yolk,NA,one
Sour Cream Fudge,Egg white,NA,one
Sour Cream Fudge,Sifted flour,2,cup
Sour Cream Fudge,Gelatin,NA,tablespoon
Sour Cream Fudge,Heavy cream,NA,cup
Sour Cream Fudge,Lemon juice,NA,tablespoon
Sour Cream Fudge,Lemon rind,NA,teaspoon
Sour Cream Fudge,Milk,NA,cup
Sour Cream Fudge,Nutmeg,NA,teaspoon
Sour Cream Fudge,Nuts,NA,cup
Sour Cream Fudge,Rum,NA,ounce
Sour Cream Fudge,Soda,1,teaspoon
Sour Cream Fudge,Sour cream cup,1,NA
Sour Cream Fudge,Shortening,0.3,tablespoon
Sour Cream Fudge,Granulated sugar,1.5,cup
Sour Cream Fudge,Strawberries,NA,quart
Sour Cream Fudge,Salt,1,teaspoon
Sour Cream Fudge,Vanilla extract,1,teaspoon
Sour Cream Fudge,Water,0.25,cup
Sour Cream Fudge,Yeast,NA,ounce
Sour Cream Fudge,Zwiebach,NA,ounce
Hungarian Cream,Almond essence,1.5,teaspoon
Hungarian Cream,Buttermilk,NA,cup
Hungarian Cream,Baking powder,3,teaspoon
Hungarian Cream,Butter,NA,cup
Hungarian Cream,Bananas,NA,one
Hungarian Cream,Cocoa,NA,tablespoon
Hungarian Cream,Cottage Cheese,NA,pound
Hungarian Cream,Chocolate,NA,ounce
Hungarian Cream,Crushed Ice,NA,cup
Hungarian Cream,Crumbs,NA,cup
Hungarian Cream,Cream of tartar,NA,teaspoon
Hungarian Cream,Dried currants,NA,tablespoon
Hungarian Cream,Eggs,3,one
Hungarian Cream,Egg yolk,NA,one
Hungarian Cream,Egg white,NA,one
Hungarian Cream,Sifted flour,3,cup
Hungarian Cream,Gelatin,NA,tablespoon
Hungarian Cream,Heavy cream,2,cup
Hungarian Cream,Lemon juice,NA,tablespoon
Hungarian Cream,Lemon rind,NA,teaspoon
Hungarian Cream,Milk,NA,cup
Hungarian Cream,Nutmeg,NA,teaspoon
Hungarian Cream,Nuts,NA,cup
Hungarian Cream,Rum,NA,ounce
Hungarian Cream,Soda,NA,teaspoon
Hungarian Cream,Sour cream cup,NA,NA
Hungarian Cream,Shortening,NA,tablespoon
Hungarian Cream,Granulated sugar,1.5,cup
Hungarian Cream,Strawberries,NA,quart
Hungarian Cream,Salt,1,teaspoon
Hungarian Cream,Vanilla extract,2,teaspoon
Hungarian Cream,Water,NA,cup
Hungarian Cream,Yeast,NA,ounce
Hungarian Cream,Zwiebach,NA,ounce
Crumb and Nut,Almond essence,NA,teaspoon
Crumb and Nut,Buttermilk,NA,cup
Crumb and Nut,Baking powder,3,teaspoon
Crumb and Nut,Butter,NA,cup
Crumb and Nut,Bananas,NA,one
Crumb and Nut,Cocoa,NA,tablespoon
Crumb and Nut,Cottage Cheese,NA,pound
Crumb and Nut,Chocolate,NA,ounce
Crumb and Nut,Crushed Ice,NA,cup
Crumb and Nut,Crumbs,3,cup
Crumb and Nut,Cream of tartar,NA,teaspoon
Crumb and Nut,Dried currants,NA,tablespoon
Crumb and Nut,Eggs,4,one
Crumb and Nut,Egg yolk,NA,one
Crumb and Nut,Egg white,NA,one
Crumb and Nut,Sifted flour,NA,cup
Crumb and Nut,Gelatin,NA,tablespoon
Crumb and Nut,Heavy cream,NA,cup
Crumb and Nut,Lemon juice,NA,tablespoon
Crumb and Nut,Lemon rind,NA,teaspoon
Crumb and Nut,Milk,1,cup
Crumb and Nut,Nutmeg,NA,teaspoon
Crumb and Nut,Nuts,1,cup
Crumb and Nut,Rum,NA,ounce
Crumb and Nut,Soda,NA,teaspoon
Crumb and Nut,Sour cream cup,NA,NA
Crumb and Nut,Shortening,1,tablespoon
Crumb and Nut,Granulated sugar,1,cup
Crumb and Nut,Strawberries,NA,quart
Crumb and Nut,Salt,NA,teaspoon
Crumb and Nut,Vanilla extract,2,teaspoon
Crumb and Nut,Water,NA,cup
Crumb and Nut,Yeast,NA,ounce
Crumb and Nut,Zwiebach,NA,ounce
Spiced Pound,Almond essence,NA,teaspoon
Spiced Pound,Buttermilk,NA,cup
Spiced Pound,Baking powder,NA,teaspoon
Spiced Pound,Butter,1,cup
Spiced Pound,Bananas,NA,one
Spiced Pound,Cocoa,NA,tablespoon
Spiced Pound,Cottage Cheese,NA,pound
Spiced Pound,Chocolate,NA,ounce
Spiced Pound,Crushed Ice,NA,cup
Spiced Pound,Crumbs,NA,cup
Spiced Pound,Cream of tartar,NA,teaspoon
Spiced Pound,Dried currants,NA,tablespoon
Spiced Pound,Eggs,5,one
Spiced Pound,Egg yolk,NA,one
Spiced Pound,Egg white,NA,one
Spiced Pound,Sifted flour,2,cup
Spiced Pound,Gelatin,NA,tablespoon
Spiced Pound,Heavy cream,NA,cup
Spiced Pound,Lemon juice,NA,tablespoon
Spiced Pound,Lemon rind,NA,teaspoon
Spiced Pound,Milk,NA,cup
Spiced Pound,Nutmeg,1.5,teaspoon
Spiced Pound,Nuts,NA,cup
Spiced Pound,Rum,NA,ounce
Spiced Pound,Soda,NA,teaspoon
Spiced Pound,Sour cream cup,NA,NA
Spiced Pound,Shortening,NA,tablespoon
Spiced Pound,Granulated sugar,1.7,cup
Spiced Pound,Strawberries,NA,quart
Spiced Pound,Salt,0.5,teaspoon
Spiced Pound,Vanilla extract,NA,teaspoon
Spiced Pound,Water,NA,cup
Spiced Pound,Yeast,NA,ounce
Spiced Pound,Zwiebach,NA,ounce
Strawberry Roll,Almond essence,NA,teaspoon
Strawberry Roll,Buttermilk,NA,cup
Strawberry Roll,Baking powder,0.75,teaspoon
Strawberry Roll,Butter,NA,cup
Strawberry Roll,Bananas,NA,one
Strawberry Roll,Cocoa,NA,tablespoon
Strawberry Roll,Cottage Cheese,0.5,pound
Strawberry Roll,Chocolate,NA,ounce
Strawberry Roll,Crushed Ice,NA,cup
Strawberry Roll,Crumbs,NA,cup
Strawberry Roll,Cream of tartar,NA,teaspoon
Strawberry Roll,Dried currants,NA,tablespoon
Strawberry Roll,Eggs,4,one
Strawberry Roll,Egg yolk,NA,one
Strawberry Roll,Egg white,NA,one
Strawberry Roll,Sifted flour,0.75,cup
Strawberry Roll,Gelatin,NA,tablespoon
Strawberry Roll,Heavy cream,NA,cup
Strawberry Roll,Lemon juice,NA,tablespoon
Strawberry Roll,Lemon rind,NA,teaspoon
Strawberry Roll,Milk,NA,cup
Strawberry Roll,Nutmeg,NA,teaspoon
Strawberry Roll,Nuts,NA,cup
Strawberry Roll,Rum,NA,ounce
Strawberry Roll,Soda,NA,teaspoon
Strawberry Roll,Sour cream cup,NA,NA
Strawberry Roll,Shortening,NA,tablespoon
Strawberry Roll,Granulated sugar,0.75,cup
Strawberry Roll,Strawberries,1,quart
Strawberry Roll,Salt,1,teaspoon
Strawberry Roll,Vanilla extract,1,teaspoon
Strawberry Roll,Water,NA,cup
Strawberry Roll,Yeast,NA,ounce
Strawberry Roll,Zwiebach,NA,ounce
Savarin,Almond essence,NA,teaspoon
Savarin,Buttermilk,NA,cup
Savarin,Baking powder,NA,teaspoon
Savarin,Butter,0.7,cup
Savarin,Bananas,NA,one
Savarin,Cocoa,NA,tablespoon
Savarin,Cottage Cheese,NA,pound
Savarin,Chocolate,NA,ounce
Savarin,Crushed Ice,NA,cup
Savarin,Crumbs,NA,cup
Savarin,Cream of tartar,NA,teaspoon
Savarin,Dried currants,NA,tablespoon
Savarin,Eggs,3,one
Savarin,Egg yolk,NA,one
Savarin,Egg white,NA,one
Savarin,Sifted flour,1.5,cup
Savarin,Gelatin,NA,tablespoon
Savarin,Heavy cream,NA,cup
Savarin,Lemon juice,NA,tablespoon
Savarin,Lemon rind,1,teaspoon
Savarin,Milk,0.25,cup
Savarin,Nutmeg,NA,teaspoon
Savarin,Nuts,NA,cup
Savarin,Rum,NA,ounce
Savarin,Soda,NA,teaspoon
Savarin,Sour cream cup,NA,NA
Savarin,Shortening,NA,tablespoon
Savarin,Granulated sugar,0.6,cup
Savarin,Strawberries,NA,quart
Savarin,Salt,0.5,teaspoon
Savarin,Vanilla extract,NA,teaspoon
Savarin,Water,0.25,cup
Savarin,Yeast,1,ounce
Savarin,Zwiebach,NA,ounce
Banana Shortcake,Almond essence,NA,teaspoon
Banana Shortcake,Buttermilk,NA,cup
Banana Shortcake,Baking powder,4,teaspoon
Banana Shortcake,Butter,0.6,cup
Banana Shortcake,Bananas,3,one
Banana Shortcake,Cocoa,NA,tablespoon
Banana Shortcake,Cottage Cheese,NA,pound
Banana Shortcake,Chocolate,NA,ounce
Banana Shortcake,Crushed Ice,NA,cup
Banana Shortcake,Crumbs,NA,cup
Banana Shortcake,Cream of tartar,NA,teaspoon
Banana Shortcake,Dried currants,NA,tablespoon
Banana Shortcake,Eggs,NA,one
Banana Shortcake,Egg yolk,NA,one
Banana Shortcake,Egg white,NA,one
Banana Shortcake,Sifted flour,3,cup
Banana Shortcake,Gelatin,NA,tablespoon
Banana Shortcake,Heavy cream,1,cup
Banana Shortcake,Lemon juice,NA,tablespoon
Banana Shortcake,Lemon rind,NA,teaspoon
Banana Shortcake,Milk,1,cup
Banana Shortcake,Nutmeg,NA,teaspoon
Banana Shortcake,Nuts,NA,cup
Banana Shortcake,Rum,NA,ounce
Banana Shortcake,Soda,NA,teaspoon
Banana Shortcake,Sour cream cup,NA,NA
Banana Shortcake,Shortening,NA,tablespoon
Banana Shortcake,Granulated sugar,0.13,cup
Banana Shortcake,Strawberries,NA,quart
Banana Shortcake,Salt,0.5,teaspoon
Banana Shortcake,Vanilla extract,NA,teaspoon
Banana Shortcake,Water,NA,cup
Banana Shortcake,Yeast,NA,ounce
Banana Shortcake,Zwiebach,NA,ounce
Strawberry Shortcake,Almond essence,NA,teaspoon
Strawberry Shortcake,Buttermilk,NA,cup
Strawberry Shortcake,Baking powder,3,teaspoon
Strawberry Shortcake,Butter,0.12,cup
Strawberry Shortcake,Bananas,NA,one
Strawberry Shortcake,Cocoa,NA,tablespoon
Strawberry Shortcake,Cottage Cheese,0.2,pound
Strawberry Shortcake,Chocolate,NA,ounce
Strawberry Shortcake,Crushed Ice,NA,cup
Strawberry Shortcake,Crumbs,NA,cup
Strawberry Shortcake,Cream of tartar,NA,teaspoon
Strawberry Shortcake,Dried currants,NA,tablespoon
Strawberry Shortcake,Eggs,1,one
Strawberry Shortcake,Egg yolk,NA,one
Strawberry Shortcake,Egg white,NA,one
Strawberry Shortcake,Sifted flour,2,cup
Strawberry Shortcake,Gelatin,NA,tablespoon
Strawberry Shortcake,Heavy cream,NA,cup
Strawberry Shortcake,Lemon juice,NA,tablespoon
Strawberry Shortcake,Lemon rind,NA,teaspoon
Strawberry Shortcake,Milk,0.5,cup
Strawberry Shortcake,Nutmeg,NA,teaspoon
Strawberry Shortcake,Nuts,NA,cup
Strawberry Shortcake,Rum,NA,ounce
Strawberry Shortcake,Soda,NA,teaspoon
Strawberry Shortcake,Sour cream cup,1,NA
Strawberry Shortcake,Shortening,NA,tablespoon
Strawberry Shortcake,Granulated sugar,0.6,cup
Strawberry Shortcake,Strawberries,1,quart
Strawberry Shortcake,Salt,0.75,teaspoon
Strawberry Shortcake,Vanilla extract,NA,teaspoon
Strawberry Shortcake,Water,NA,cup
Strawberry Shortcake,Yeast,NA,ounce
Strawberry Shortcake,Zwiebach,NA,ounce
Sponge,Almond essence,0.5,teaspoon
Sponge,Buttermilk,NA,cup
Sponge,Baking powder,1,teaspoon
Sponge,Butter,NA,cup
Sponge,Bananas,NA,one
Sponge,Cocoa,NA,tablespoon
Sponge,Cottage Cheese,NA,pound
Sponge,Chocolate,NA,ounce
Sponge,Crushed Ice,NA,cup
Sponge,Crumbs,NA,cup
Sponge,Cream of tartar,NA,teaspoon
Sponge,Dried currants,NA,tablespoon
Sponge,Eggs,4,one
Sponge,Egg yolk,NA,one
Sponge,Egg white,NA,one
Sponge,Sifted flour,0.75,cup
Sponge,Gelatin,NA,tablespoon
Sponge,Heavy cream,NA,cup
Sponge,Lemon juice,NA,tablespoon
Sponge,Lemon rind,NA,teaspoon
Sponge,Milk,NA,cup
Sponge,Nutmeg,NA,teaspoon
Sponge,Nuts,NA,cup
Sponge,Rum,NA,ounce
Sponge,Soda,NA,teaspoon
Sponge,Sour cream cup,NA,NA
Sponge,Shortening,NA,tablespoon
Sponge,Granulated sugar,0.75,cup
Sponge,Strawberries,NA,quart
Sponge,Salt,0.25,teaspoon
Sponge,Vanilla extract,NA,teaspoon
Sponge,Water,2,cup
Sponge,Yeast,NA,ounce
Sponge,Zwiebach,NA,ounce
